"","G6_Skin_Fixed_24_A2","G6_Skin_Fixed_24_A3","G6_Skin_Fixed_24_A4","G6_Skin_Fixed_24_B1","G6_Skin_Fixed_24_B3","G6_Skin_Fixed_24_B4","G6_Skin_Fixed_24_C1","G6_Skin_Fixed_24_C2","G6_Skin_Fixed_24_C3","G6_Skin_Fixed_24_C4","G6_Skin_Fixed_24_D1","G6_Skin_Fixed_24_D2","G6_Skin_Fixed_24_D3","G6_Skin_Fixed_24_D4","G6_Skin_FL_2500_A2","G6_Skin_FL_2500_A4","G6_Skin_FL_2500_B1","G6_Skin_FL_2500_B2","G6_Skin_FL_2500_B3","G6_Skin_FL_2500_B4","G6_Skin_FL_2500_C1","G6_Skin_FL_2500_C2","G6_Skin_FL_2500_C3","G6_Skin_FL_2500_C4","G6_Skin_FL_2500_D1","G6_Skin_FL_2500_D2","G6_Skin_FL_2500_D3","G6_Skin_FL_2500_D4","G4_Feces_Fixed_24_A2","G4_Feces_Fixed_24_A3","G4_Feces_Fixed_24_A4","G4_Feces_Fixed_24_B1","G4_Feces_Fixed_24_B2","G4_Feces_Fixed_24_B3","G4_Feces_Fixed_24_B4","G4_Feces_Fixed_24_C1","G4_Feces_Fixed_24_C2","G4_Feces_Fixed_24_C3","G4_Feces_Fixed_24_C4","G4_Feces_Fixed_24_D1","G4_Feces_Fixed_24_D2","G4_Feces_Fixed_24_D3","G4_Feces_Fixed_24_D4","G4_Feces_FL_350_A2","G4_Feces_FL_350_A3","G4_Feces_FL_350_A4","G4_Feces_FL_350_B1","G4_Feces_FL_350_B2","G4_Feces_FL_350_C1","G4_Feces_FL_350_C2","G4_Feces_FL_350_C3","G4_Feces_FL_350_C4","G4_Feces_FL_350_D1","G4_Feces_FL_350_D2","G4_Feces_FL_350_D3","G4_Feces_FL_350_D4","G7_Soil_Fixed_24_A2","G7_Soil_Fixed_24_A3","G7_Soil_Fixed_24_A4","G7_Soil_Fixed_24_B2","G7_Soil_Fixed_24_B3","G7_Soil_Fixed_24_B4","G7_Soil_Fixed_24_C2","G7_Soil_Fixed_24_C3","G7_Soil_Fixed_24_C4","G7_Soil_Fixed_24_D2","G7_Soil_Fixed_24_D3","G7_Soil_Fixed_24_D4","G7_Soil_FL_5000_A1","G7_Soil_FL_5000_A2","G7_Soil_FL_5000_A4","G7_Soil_FL_5000_B3","G7_Soil_FL_5000_B4","G7_Soil_FL_5000_C2","G7_Soil_FL_5000_C3","G7_Soil_FL_5000_C4","G7_Soil_FL_5000_D2","G7_Soil_FL_5000_D3","G7_Soil_FL_5000_D4"
"d__Archaea",74,12,5,90,9,1,167,57,13,0,102,58,21,0,39,0,32,28,4,1,59,12,7,1,39,24,4,0,30,2,0,40,20,2,0,100,33,1,0,32,21,4,0,1,2,0,29,0,30,5,0,0,55,2,0,0,22,35,15,15,22,2,11,35,9,1,16,3,3,6,0,2,0,1,2,0,1,1,0
"d__Bacteria",1,2,0,23,0,0,18,8,0,1,25,6,18,0,3,0,6,0,0,0,8,2,0,0,2,0,0,1,341,1,0,309,320,22,0,1144,255,24,0,263,310,18,0,49,2,0,253,64,310,43,4,0,392,50,0,0,14,22,38,14,27,31,17,25,24,15,10,26,16,20,19,21,8,22,15,25,18,16,23
"d__Eukaryota",0,0,0,3,0,0,6,1,0,0,8,1,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,1,1,0,3,0,4,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,6,2,7,0,4,3,2,0,5,2,1,0,0,0,0,0,0,2,1,0
"p__Abditibacteriota",0,2,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,2,0,0,0,1,4,4,0,1,0,3,1
"p__Acidobacteriota",0,0,5,0,0,1,0,4,3,4,0,0,2,4,0,2,1,1,4,0,3,1,4,2,4,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,476,458,409,451,480,495,464,458,412,463,508,578,520,573,562,619,613,629,647,685,560,626
"p__Actinobacteriota",6868,7612,7395,6720,7488,7293,6555,6931,7762,7702,6835,6680,7409,7610,8751,9991,9382,9554,9681,9709,9443,9793,9805,9489,9612,9576,9940,9397,76,83,105,64,71,100,101,78,88,74,109,64,83,83,85,112,84,82,105,90,98,99,89,77,76,81,95,108,3822,3522,3234,3642,3483,3295,3675,3481,3347,3828,3623,3219,3500,3619,3512,3631,3620,3639,3559,3492,3597,3759,3609
"p__Aenigmarchaeota",2,2,0,0,0,0,1,0,0,0,1,0,4,0,0,0,21,0,0,0,2,0,0,0,24,0,0,0,4,0,1,0,6,0,0,4,2,3,0,1,7,1,0,0,1,0,0,1,0,3,0,0,1,0,0,0,2,2,0,2,1,1,3,0,0,0,0,0,5,1,0,1,0,1,1,0,0,0,0
"p__Apicomplexa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"p__Armatimonadota",0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,9,5,7,6,10,4,9,6,9,11,10,9,6,8,7,14,12,9,11,6
"p__Arthropoda",6,6,4,2,6,1,1,3,5,2,0,3,9,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
