"","G6_Skin_Fixed_24_A1","G6_Skin_Fixed_24_A2","G6_Skin_Fixed_24_A3","G6_Skin_Fixed_24_A4","G6_Skin_Fixed_24_B1","G6_Skin_Fixed_24_B2","G6_Skin_Fixed_24_B3","G6_Skin_Fixed_24_B4","G6_Skin_Fixed_24_C1","G6_Skin_Fixed_24_C2","G6_Skin_Fixed_24_C3","G6_Skin_Fixed_24_C4","G6_Skin_Fixed_24_D1","G6_Skin_Fixed_24_D2","G6_Skin_Fixed_24_D3","G6_Skin_Fixed_24_D4","G6_Skin_FL_2500_A1","G6_Skin_FL_2500_A2","G6_Skin_FL_2500_A3","G6_Skin_FL_2500_A4","G6_Skin_FL_2500_B1","G6_Skin_FL_2500_B2","G6_Skin_FL_2500_B3","G6_Skin_FL_2500_B4","G6_Skin_FL_2500_C1","G6_Skin_FL_2500_C2","G6_Skin_FL_2500_C3","G6_Skin_FL_2500_C4","G6_Skin_FL_2500_D1","G6_Skin_FL_2500_D2","G6_Skin_FL_2500_D3","G6_Skin_FL_2500_D4","G4_Feces_Fixed_24_A2","G4_Feces_Fixed_24_A3","G4_Feces_Fixed_24_A4","G4_Feces_Fixed_24_B1","G4_Feces_Fixed_24_B2","G4_Feces_Fixed_24_B3","G4_Feces_Fixed_24_B4","G4_Feces_Fixed_24_C1","G4_Feces_Fixed_24_C2","G4_Feces_Fixed_24_C3","G4_Feces_Fixed_24_C4","G4_Feces_Fixed_24_D1","G4_Feces_Fixed_24_D2","G4_Feces_Fixed_24_D3","G4_Feces_Fixed_24_D4","G4_Feces_FL_350_A1","G4_Feces_FL_350_A2","G4_Feces_FL_350_A3","G4_Feces_FL_350_A4","G4_Feces_FL_350_B1","G4_Feces_FL_350_B2","G4_Feces_FL_350_B3","G4_Feces_FL_350_B4","G4_Feces_FL_350_C1","G4_Feces_FL_350_C2","G4_Feces_FL_350_C3","G4_Feces_FL_350_C4","G4_Feces_FL_350_D1","G4_Feces_FL_350_D2","G4_Feces_FL_350_D3","G4_Feces_FL_350_D4","G7_Soil_Fixed_24_A1","G7_Soil_Fixed_24_A2","G7_Soil_Fixed_24_A3","G7_Soil_Fixed_24_A4","G7_Soil_Fixed_24_B1","G7_Soil_Fixed_24_B2","G7_Soil_Fixed_24_B3","G7_Soil_Fixed_24_B4","G7_Soil_Fixed_24_C1","G7_Soil_Fixed_24_C2","G7_Soil_Fixed_24_C3","G7_Soil_Fixed_24_C4","G7_Soil_Fixed_24_D1","G7_Soil_Fixed_24_D2","G7_Soil_Fixed_24_D3","G7_Soil_Fixed_24_D4","G7_Soil_FL_5000_A1","G7_Soil_FL_5000_A2","G7_Soil_FL_5000_A3","G7_Soil_FL_5000_A4","G7_Soil_FL_5000_B1","G7_Soil_FL_5000_B2","G7_Soil_FL_5000_B3","G7_Soil_FL_5000_B4","G7_Soil_FL_5000_C1","G7_Soil_FL_5000_C2","G7_Soil_FL_5000_C3","G7_Soil_FL_5000_C4","G7_Soil_FL_5000_D1","G7_Soil_FL_5000_D2","G7_Soil_FL_5000_D3","G7_Soil_FL_5000_D4"
"d__Archaea",91,168,22,8,92,18,19,1,198,95,26,6,140,124,38,1,0,72,0,0,84,52,10,1,143,26,14,1,58,43,13,0,55,4,0,73,44,2,0,122,61,1,0,37,32,9,0,2,4,3,0,87,11,0,0,46,14,0,0,79,7,0,0,0,27,83,28,10,16,61,8,12,12,63,18,6,1,22,7,14,19,0,0,0,0,13,0,0,11,10,0,2,8,5,1
"d__Bacteria",37,1,6,1,25,5,3,0,22,18,0,2,28,13,31,0,0,7,0,0,9,0,0,0,20,3,0,0,2,0,0,1,615,4,0,503,572,46,0,1416,501,49,0,289,430,34,0,3,128,11,0,634,207,0,0,512,147,14,0,576,180,4,0,0,22,55,74,18,14,87,73,21,18,62,57,4,15,18,75,80,52,1,92,0,0,95,55,3,57,79,178,0,45,81,109
"d__Eukaryota",0,0,0,0,3,0,0,0,6,1,0,0,8,2,0,0,0,0,0,0,6,0,0,0,5,0,0,0,3,0,0,0,1,1,0,7,0,6,0,0,6,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,10,9,6,13,15,1,0,5,8,0,2,1,10,19,3,0,2,1,0,0,0,2,1,1,0,0,4,3,0
"p__Abditibacteriota",0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,1,1,2,0,1,2,0,0,3,7,1,0,1,4,0,0,9,9,0,5,3,5,0,4,8,6
"p__Acidobacteriota",1,0,0,8,0,0,0,3,0,5,6,9,0,0,3,13,0,0,0,5,1,1,13,1,6,4,13,2,7,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,535,1071,890,263,442,1177,1086,340,527,1046,1056,99,419,701,1277,2713,1658,30,3417,39,9,2996,2497,78,1878,3231,5563,47,2044,3453,3557
"p__Actinobacteriota",3250,15600,14839,16436,6914,2794,14069,17239,7511,12872,15865,24162,9378,13653,13664,23148,69,16830,68,19685,19776,18146,26204,18387,20715,18193,22797,18374,16115,15176,21047,17632,155,173,158,108,129,200,156,97,163,155,192,68,116,187,131,1,284,258,287,217,298,5,5,136,267,273,271,121,312,152,360,3,4925,8260,6201,2567,3925,9210,7412,3153,4029,7858,7703,951,3928,5737,8455,15547,11038,370,20594,314,59,18085,14241,562,11714,18312,30183,355,11770,21613,19972
"p__Aenigmarchaeota",8,9,5,0,0,0,2,0,1,0,0,0,2,0,6,0,0,0,0,0,33,0,1,0,5,0,0,0,47,0,0,0,10,0,1,0,11,0,0,4,7,3,0,1,7,3,0,0,0,1,0,3,6,0,0,0,3,0,0,1,6,0,0,0,3,3,0,0,3,5,2,2,3,0,0,1,0,0,0,15,2,0,0,0,0,3,0,2,3,1,0,0,0,0,0
"p__Apicomplexa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"p__Armatimonadota",0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,13,5,9,14,21,5,7,17,11,5,9,7,21,42,36,3,49,0,0,48,33,1,25,54,100,0,27,48,43
"p__Arthropoda",1,12,10,10,2,0,8,3,2,4,10,4,2,5,16,0,0,0,0,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
