"sample_name","raw_reads","rarefied_reads"
"G6_Skin_Fixed_24_A1",19388,NA
"G6_Skin_Fixed_24_A2",78398,35000
"G6_Skin_Fixed_24_A3",68208,35000
"G6_Skin_Fixed_24_A4",78433,35000
"G6_Skin_Fixed_24_B1",35891,35000
"G6_Skin_Fixed_24_B2",15783,NA
"G6_Skin_Fixed_24_B3",65751,35000
"G6_Skin_Fixed_24_B4",82255,35000
"G6_Skin_Fixed_24_C1",40645,35000
"G6_Skin_Fixed_24_C2",65589,35000
"G6_Skin_Fixed_24_C3",71966,35000
"G6_Skin_Fixed_24_C4",109694,35000
"G6_Skin_Fixed_24_D1",48121,35000
"G6_Skin_Fixed_24_D2",71050,35000
"G6_Skin_Fixed_24_D3",65182,35000
"G6_Skin_Fixed_24_D4",108473,35000
"G6_Skin_FL_2500_A1",513,NA
"G6_Skin_FL_2500_A2",67702,35000
"G6_Skin_FL_2500_A3",310,NA
"G6_Skin_FL_2500_A4",69685,35000
"G6_Skin_FL_2500_B1",73822,35000
"G6_Skin_FL_2500_B2",66244,35000
"G6_Skin_FL_2500_B3",93902,35000
"G6_Skin_FL_2500_B4",66638,35000
"G6_Skin_FL_2500_C1",76934,35000
"G6_Skin_FL_2500_C2",65092,35000
"G6_Skin_FL_2500_C3",81261,35000
"G6_Skin_FL_2500_C4",67516,35000
"G6_Skin_FL_2500_D1",58157,35000
"G6_Skin_FL_2500_D2",55423,35000
"G6_Skin_FL_2500_D3",74945,35000
"G6_Skin_FL_2500_D4",65588,35000
"G4_Feces_Fixed_24_A2",45369,25000
"G4_Feces_Fixed_24_A3",47027,25000
"G4_Feces_Fixed_24_A4",37745,25000
"G4_Feces_Fixed_24_B1",40297,25000
"G4_Feces_Fixed_24_B2",44862,25000
"G4_Feces_Fixed_24_B3",52088,25000
"G4_Feces_Fixed_24_B4",41388,25000
"G4_Feces_Fixed_24_C1",30994,25000
"G4_Feces_Fixed_24_C2",48828,25000
"G4_Feces_Fixed_24_C3",48536,25000
"G4_Feces_Fixed_24_C4",41725,25000
"G4_Feces_Fixed_24_D1",26750,25000
"G4_Feces_Fixed_24_D2",33699,25000
"G4_Feces_Fixed_24_D3",53108,25000
"G4_Feces_Fixed_24_D4",35874,25000
"G4_Feces_FL_350_A1",705,NA
"G4_Feces_FL_350_A2",72466,25000
"G4_Feces_FL_350_A3",70930,25000
"G4_Feces_FL_350_A4",80965,25000
"G4_Feces_FL_350_B1",64159,25000
"G4_Feces_FL_350_B2",85751,25000
"G4_Feces_FL_350_B3",62,NA
"G4_Feces_FL_350_B4",66,NA
"G4_Feces_FL_350_C1",40748,25000
"G4_Feces_FL_350_C2",78919,25000
"G4_Feces_FL_350_C3",79914,25000
"G4_Feces_FL_350_C4",76755,25000
"G4_Feces_FL_350_D1",36949,25000
"G4_Feces_FL_350_D2",81602,25000
"G4_Feces_FL_350_D3",38730,25000
"G4_Feces_FL_350_D4",82956,25000
"G7_Soil_Fixed_24_A1",11,NA
"G7_Soil_Fixed_24_A2",12846,10000
"G7_Soil_Fixed_24_A3",23420,10000
"G7_Soil_Fixed_24_A4",19451,10000
"G7_Soil_Fixed_24_B1",6812,NA
"G7_Soil_Fixed_24_B2",10739,10000
"G7_Soil_Fixed_24_B3",26212,10000
"G7_Soil_Fixed_24_B4",22925,10000
"G7_Soil_Fixed_24_C1",8143,NA
"G7_Soil_Fixed_24_C2",10963,10000
"G7_Soil_Fixed_24_C3",22576,10000
"G7_Soil_Fixed_24_C4",23001,10000
"G7_Soil_Fixed_24_D1",2887,NA
"G7_Soil_Fixed_24_D2",10243,10000
"G7_Soil_Fixed_24_D3",15718,10000
"G7_Soil_Fixed_24_D4",26036,10000
"G7_Soil_FL_5000_A1",45423,10000
"G7_Soil_FL_5000_A2",30588,10000
"G7_Soil_FL_5000_A3",1064,NA
"G7_Soil_FL_5000_A4",58543,10000
"G7_Soil_FL_5000_B1",878,NA
"G7_Soil_FL_5000_B2",204,NA
"G7_Soil_FL_5000_B3",51438,10000
"G7_Soil_FL_5000_B4",40185,10000
"G7_Soil_FL_5000_C1",1820,NA
"G7_Soil_FL_5000_C2",31798,10000
"G7_Soil_FL_5000_C3",50919,10000
"G7_Soil_FL_5000_C4",86494,10000
"G7_Soil_FL_5000_D1",1138,NA
"G7_Soil_FL_5000_D2",32108,10000
"G7_Soil_FL_5000_D3",57471,10000
"G7_Soil_FL_5000_D4",55893,10000
